iter	Logloss
0	0.673523541
1	0.6557845435
2	0.636815544
3	0.6196093784
4	0.6051853
5	0.5896548115
6	0.5766080397
7	0.5625330537
8	0.5466586718
9	0.5344870612
10	0.5188504798
11	0.5069964295
12	0.4937044181
13	0.4825964846
14	0.4711910258
15	0.459799431
16	0.4495868207
17	0.4389132344
18	0.4290342463
19	0.4217486606
20	0.4113880274
21	0.4040105508
22	0.3958590183
23	0.3878975654
24	0.3796118316
25	0.3723501274
26	0.3654915765
27	0.3586567802
28	0.352318592
29	0.3466199204
30	0.3396462945
31	0.3326436093
32	0.3274673082
33	0.3214251236
34	0.315472801
35	0.3097182086
36	0.3049220246
37	0.3001585561
38	0.2956579742
39	0.2905702459
40	0.2866832913
41	0.2818903408
42	0.2775016214
43	0.2743035737
44	0.2700594323
45	0.2670458004
46	0.2637402648
47	0.2594937776
48	0.255395102
49	0.2526285272
50	0.2495950715
51	0.2465422358
52	0.2433830959
53	0.2406008395
54	0.2374106537
55	0.2347993719
56	0.2326713203
57	0.2303763308
58	0.2281589033
59	0.2258271828
60	0.2231363946
61	0.22111507
62	0.2181519907
63	0.2159505406
64	0.2138963948
65	0.2118550562
66	0.2098668909
67	0.2080489394
68	0.2053915219
69	0.2027654463
70	0.2009794283
71	0.1986032417
72	0.1971532341
73	0.1955585004
74	0.1939975601
75	0.1921758467
76	0.189965795
77	0.1884692924
78	0.1864595704
79	0.1846085651
80	0.1831512028
81	0.1817222659
82	0.1801979931
83	0.178570544
84	0.1771806521
85	0.1757062135
86	0.1742466005
87	0.173121698
88	0.1718539822
89	0.170737248
90	0.1690394225
91	0.1676481992
92	0.1664925995
93	0.1653091557
94	0.164122098
95	0.1630502738
96	0.161724397
97	0.1607359572
98	0.1596990781
99	0.1586867673
100	0.1576020936
101	0.1567213106
102	0.1559112633
103	0.1551184192
104	0.154373412
105	0.1535530407
106	0.1526069852
107	0.1515536321
108	0.1505287783
109	0.1498998922
110	0.1490252381
111	0.1480785169
112	0.1472700653
113	0.1463807547
114	0.145663169
115	0.144960842
116	0.144335443
117	0.1435872128
118	0.1428797503
119	0.1419059669
120	0.1411370993
121	0.1405283751
122	0.1398079785
123	0.1389856629
124	0.1382645055
125	0.1375378743
126	0.1369199885
127	0.1360501318
128	0.1356114522
129	0.1350354224
130	0.134477515
131	0.1339566344
132	0.1333356102
133	0.1327339764
134	0.1321475909
135	0.1315430829
136	0.1308474448
137	0.1302738665
138	0.1296402992
139	0.12915597
140	0.128677812
141	0.1281464384
142	0.1276618873
143	0.1271733419
144	0.1266998862
145	0.1261329651
146	0.1256898262
147	0.1253086629
148	0.1248421286
149	0.1243365386
150	0.1238600395
151	0.1233555696
152	0.1228594688
153	0.122372836
154	0.1218101628
155	0.1213752345
156	0.1209937119
157	0.1204962691
158	0.1200800021
159	0.1196798076
160	0.1192608144
161	0.1188489327
162	0.1183720428
163	0.1179191928
164	0.1175910231
