iter	Passed	Remaining
0	141	141756
1	215	107383
2	315	105016
3	386	96117
4	468	93246
5	567	94032
6	660	93712
7	743	92161
8	845	93077
9	926	91764
10	996	89612
11	1081	89077
12	1160	88144
13	1255	88422
14	1342	88142
15	1417	87201
16	1494	86392
17	1586	86535
18	1688	87167
19	1796	88004
20	1862	86850
21	1894	84241
22	1926	81830
23	1954	79489
24	1992	77720
25	2025	75876
26	2054	74044
27	2089	72538
28	2127	71248
29	2158	69793
30	2193	68560
31	2238	67719
32	2330	68302
33	2409	68450
34	2491	68688
35	2581	69116
36	2669	69469
37	2799	70865
38	2872	70788
39	2929	70316
40	2972	69516
41	3001	68469
42	3033	67519
43	3065	66601
44	3093	65652
45	3122	64768
46	3156	63999
47	3222	63903
48	3300	64051
49	3382	64275
50	3459	64373
51	3540	64541
52	3614	64586
53	3683	64521
54	3750	64438
55	3828	64538
56	3906	64633
57	3977	64599
58	4064	64822
59	4139	64851
60	4222	64994
61	4305	65131
62	4380	65157
63	4450	65094
64	4527	65126
65	4594	65013
66	4661	64912
67	4744	65031
68	4818	65015
69	4886	64922
70	4965	64976
71	5043	65004
72	5109	64885
73	5200	65074
74	5270	65006
75	5353	65082
76	5429	65084
77	5496	64969
78	5576	65012
79	5652	65005
80	5722	64925
81	5804	64976
82	5919	65401
83	6026	65717
84	6145	66158
85	6257	66504
86	6385	67008
87	6481	67167
88	6563	67184
89	6666	67405
90	6748	67407
91	6824	67356
92	6917	67463
93	6998	67452
94	7084	67491
95	7162	67449
96	7241	67417
97	7309	67276
98	7390	67259
99	7462	67166
100	7539	67110
101	7610	67003
102	7690	66977
103	7763	66882
104	7838	66816
105	7910	66713
106	7993	66711
107	8071	66666
108	8143	66567
109	8218	66491
110	8294	66426
111	8375	66409
112	8448	66318
113	8530	66295
114	8602	66205
115	8670	66078
116	8750	66040
117	8831	66013
118	8896	65865
119	8963	65732
120	9059	65810
121	9117	65616
122	9198	65583
123	9258	65407
124	9348	65436
125	9404	65234
126	9497	65289
127	9550	65061
128	9611	64898
129	9680	64785
130	9720	64482
131	9806	64482
132	9851	64220
133	9909	64042
134	9984	63974
135	10050	63851
136	10125	63780
137	10183	63609
138	10252	63508
139	10330	63457
140	10401	63367
141	10459	63199
142	10514	63012
143	10566	62810
144	10624	62648
145	10697	62574
146	10777	62536
147	10855	62490
148	10942	62494
149	11002	62346
150	11061	62193
151	11115	62013
152	11174	61863
153	11227	61676
154	11257	61372
155	11287	61068
156	11316	60761
157	11347	60472
158	11380	60195
159	11412	59917
160	11455	59698
161	11535	59672
162	11670	59926
163	11802	60161
164	11866	60050
165	11902	59797
166	11938	59547
167	11971	59286
168	12003	59022
169	12038	58775
170	12078	58558
171	12128	58384
172	12265	58635
173	12430	59011
174	12477	58821
175	12510	58572
176	12542	58319
177	12580	58096
178	12616	57866
179	12656	57658
180	12687	57408
181	12717	57160
182	12747	56912
183	12777	56663
184	12804	56409
185	12835	56170
186	12867	55943
187	12896	55702
188	12923	55455
189	12954	55225
190	12984	54997
191	13014	54767
192	13046	54550
193	13080	54343
194	13113	54134
195	13166	54011
196	13318	54288
197	13496	54668
198	13539	54496
199	13588	54352
200	13637	54212
201	13673	54016
202	13706	53812
203	13739	53609
204	13777	53429
205	13810	53230
206	13848	53051
207	13883	52862
208	13936	52746
209	13994	52644
210	14034	52481
211	14084	52351
212	14137	52234
213	14177	52071
214	14208	51878
215	14240	51687
216	14268	51483
217	14298	51292
218	14328	51099
219	14357	50905
220	14388	50718
221	14416	50521
222	14448	50341
223	14487	50187
224	14517	50004
225	14568	49894
226	14623	49797
227	14743	49920
228	14837	49953
229	14872	49791
